GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TDD,com.jc.aim.algo.strings,ValidPalindrome,10,33,0,4,4,10,2,3,2,1
TDD,com.jc.aim.algo.strings,StringBuilderMemAlloc,40,0,0,0,9,0,3,0,3,0
TDD,com.jc.aim.algo.strings,StringsMemAlloc,80,0,4,0,12,0,5,0,3,0
TDD,com.jc.aim.algo.strings,StringBuilderBuiltInMethods,32,0,0,0,8,0,2,0,2,0
TDD,com.jc.aim.algo.strings,IsPalindrome,45,0,4,0,14,0,4,0,2,0
TDD,com.jc.core.packageone,Main,12,0,0,0,5,0,2,0,2,0
TDD,com.jc.core.packageone,PackageOne,11,0,0,0,5,0,3,0,3,0
TDD,com.jc.fraz,Factorial,26,0,4,0,7,0,4,0,2,0
TDD,com.jc.core.getterAndSetter,GetterAndSetter,38,6,6,0,11,2,6,2,3,2
TDD,com.jc.core.getterAndSetter,Main,30,0,0,0,9,0,2,0,2,0
TDD,com.jc.core.constructor,Main,23,0,0,0,6,0,2,0,2,0
TDD,com.jc.core.constructor,Dog,15,0,0,0,7,0,3,0,3,0
TDD,com.jc.core.types,Main,24,0,0,0,12,0,2,0,2,0
TDD,com.jc.aim.algo.arrays,IsNumPresent,61,0,6,0,17,0,5,0,2,0
TDD,com.jc.aim.algo.arrays,CompareArrays,67,0,2,0,7,0,3,0,2,0
TDD,com.jc.aim.algo.arrays,CopyAndCompare,55,0,2,0,8,0,3,0,2,0
TDD,com.jc.aim.algo.arrays,Hello,7,0,0,0,3,0,2,0,2,0
TDD,com.jc.aim.algo.arrays,DeclareAssignAccess,37,0,2,0,8,0,3,0,2,0
TDD,com.jc.aim.algo.arrays,SmallestAndSecondSmallest,3,83,0,14,1,21,1,8,1,1
TDD,com.jc.aim.algo.arrays,DeclareInitialize,55,0,2,0,7,0,3,0,2,0
TDD,com.jc.aim.algo.arrays,ArraysClassMethods,47,0,0,0,8,0,2,0,2,0
TDD,com.jc.aim.algo.arrays,CloneArrays,54,0,2,0,9,0,3,0,2,0
TDD,com.jc.core.arrays,ArrayVsArrayList,147,0,6,0,23,0,6,0,3,0
TDD,com.jc.core.arrays,Program,101,0,6,0,19,0,5,0,2,0
TDD,com.jc.core.arrays,CalAvg,70,0,2,0,8,0,3,0,2,0
TDD,com.jc.core.arrays,Demo,23,0,0,0,7,0,2,0,2,0
TDD,com.jc.core.inheritance.animal,Dog,5,0,0,0,2,0,2,0,2,0
TDD,com.jc.core.inheritance.animal,Animal,26,0,0,0,11,0,8,0,8,0
TDD,com.jc.core.exceptions,CheckedExceptionExample,23,0,0,0,11,0,3,0,3,0
TDD,com.jc.core.exceptions,Unchecked,3,0,0,0,1,0,1,0,1,0
TDD,com.jc.core.oop.encapsulation,Signup,5,56,1,9,1,17,1,10,0,6
TDD,com.jc.core.system,GetPropertyUser,9,0,0,0,4,0,2,0,2,0
