GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TDD,com.jc.aim.ds,ArraysDemo,108,0,4,0,24,0,4,0,2,0
TDD,com.jc.core.packagetwo,Main,10,0,0,0,4,0,2,0,2,0
TDD,com.jc.playground,Demo,16,0,0,0,6,0,2,0,2,0
TDD,com.jc.playground,AddDigits,39,0,2,0,11,0,3,0,2,0
TDD,com.jc.playground,Test,21,0,2,0,6,0,3,0,2,0
TDD,com.jc.playground,App,7,0,0,0,3,0,2,0,2,0
TDD,com.jc.playground,AddRangeOfDigits,55,0,4,0,15,0,4,0,2,0
TDD,com.jc.playground,FizzBuzzBreak,72,0,12,0,19,0,8,0,2,0
TDD,com.jc.playground,Main,30,0,0,0,7,0,3,0,3,0
TDD,com.jc.playground,Assignment,35,0,8,0,12,0,7,0,3,0
TDD,com.jc.playground,FizzBuzzContinue,66,0,12,0,19,0,8,0,2,0
TDD,com.jc.playground,AddDigitsUntilSingleDigit,23,0,0,0,9,0,3,0,3,0
TDD,com.jc.playground,SumOfDigitsEqualToK,47,0,6,0,12,0,5,0,2,0
TDD,com.jc.udemy.numbers,BiggerAndSmaller,58,0,8,0,12,0,9,0,5,0
TDD,com.jc.udemy.numbers,Program,42,0,4,0,6,0,4,0,2,0
TDD,com.jc.core.inheritance,MainAnimal,59,0,0,0,16,0,2,0,2,0
TDD,com.jc.core.userinput,Main,21,0,0,0,7,0,2,0,2,0
TDD,com.jc.core.loops,For,85,0,16,0,23,0,15,0,7,0
TDD,com.jc.aim.algo.for_loop,SumOfRangeOfDigits,59,0,6,0,16,0,5,0,2,0
TDD,com.jc.aim.algo.for_loop,PrintPrimeNum,50,0,8,0,15,0,7,0,3,0
TDD,com.jc.aim.algo.for_loop,Empty,17,0,2,0,7,0,3,0,2,0
TDD,com.jc.aim.algo.for_loop,FizzBuzz,55,0,10,0,14,0,7,0,2,0
TDD,com.jc.aim.algo.for_loop,IsPrime,38,0,4,0,12,0,4,0,2,0
TDD,com.jc.aim.algo.for_loop,SumOfNDigits,53,0,6,0,14,0,5,0,2,0
TDD,com.jc.aim.algo.for_loop,NumberOfDigits,35,0,2,0,11,0,3,0,2,0
TDD,com.jc.aim.algo.for_loop,SumOfDigits,41,0,2,0,13,0,3,0,2,0
TDD,com.jc.core.conditions,FidMaxNumber,33,0,6,0,10,0,5,0,2,0
TDD,com.jc.aim.algo.functions,DefaultParameters,15,0,0,0,5,0,3,0,3,0
TDD,com.jc.aim.algo.bigO,On,17,0,2,0,6,0,4,0,3,0
TDD,com.jc.core.strings,Demo,54,0,0,0,12,0,2,0,2,0
TDD,com.jc.aim.leetcode,MergeSortedArray88,55,0,0,0,6,0,3,0,3,0
TDD,com.jc.aim.algo,LinearSearch,56,0,4,0,10,0,5,0,3,0
TDD,com.jc.aim.algo,ArraySortBuiltin,39,0,0,0,11,0,2,0,2,0
TDD,com.jc.aim.algo,FindNthPower,3,41,0,6,1,10,1,5,1,2
TDD,com.jc.aim.algo,ArraySort,116,0,8,0,21,0,8,0,4,0
TDD,com.jc.aim.algo,Watermelon,23,0,2,0,7,0,3,0,2,0
TDD,com.jc.aim.algo,FindMaxOf3,43,0,8,0,12,0,6,0,2,0
TDD,com.jc.aim.algo.while_loop,SumUntilSingleDigit,50,0,6,0,16,0,6,0,3,0
TDD,com.jc.aim.algo.while_loop,PlusOrMinus,39,0,4,0,14,0,4,0,2,0
TDD,com.jc.aim.algo.while_loop,SumOfDigitEqToFive,67,0,10,0,20,0,8,0,3,0
TDD,com.jc.aim.algo.while_loop,IsNumPowerOfTwo,41,0,6,0,10,0,6,0,3,0
